customer_id,balance,balance_frequency,purchases,oneoff_purchases,installment_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installment_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payment,prc_full_payment,tenure
C10001,40.90,0.82,95.40,0.00,95.40,0.00,0.17,0.00,0.08,0.00,0,2,1000,201.8,139.5,0.00,12
C10002,3202.47,0.91,0.00,0.00,0.00,6442.95,0.00,0.00,0.00,0.25,4,0,7000,4103.0,1072.3,0.22,12
C10003,2495.15,1.00,773.17,773.17,0.00,0.00,1.00,1.00,0.00,0.00,0,12,7500,622.1,627.3,0.00,12
C10004,1666.67,0.64,1499.00,1499.00,0.00,205.79,0.08,0.08,0.00,0.08,1,1,7500,0.0,,0.00,12
C10005,817.71,1.00,16.00,16.00,0.00,0.00,0.08,0.08,0.00,0.00,0,1,1200,678.3,244.8,0.00,12
C10006,1809.83,1.00,1333.28,0.00,1333.28,0.00,0.67,0.00,0.58,0.00,0,8,1800,1400.1,2407.2,0.00,12
C10007,627.26,1.00,7091.01,6402.63,688.38,0.00,1.00,1.00,1.00,0.00,0,64,13500,6354.3,198.1,1.00,12
C10008,1823.65,1.00,436.20,0.00,436.20,0.00,1.00,0.00,1.00,0.00,0,12,2300,679.1,532.0,0.00,12
C10009,1014.93,1.00,861.49,661.49,200.00,0.00,0.33,0.08,0.25,0.00,0,5,7000,688.3,312.0,0.00,12
C10010,152.23,0.55,1281.60,1281.60,0.00,0.00,0.17,0.17,0.00,0.00,0,3,11000,1164.8,100.3,0.00,12
C10011,1293.12,1.00,920.12,0.00,920.12,0.00,1.00,0.00,1.00,0.00,0,12,1200,1083.3,2172.7,0.00,12
C10012,630.79,0.82,1492.18,1492.18,0.00,0.00,0.25,0.25,0.00,0.00,0,6,2000,705.6,155.5,0.00,12
C10013,1516.93,1.00,3217.99,2500.23,717.76,0.00,1.00,0.25,0.92,0.00,0,26,3000,608.3,490.2,0.25,12
